"","Acinetobacter","Actinobacillus","Campylobacter","Cellulosilyticum","Clostridium","Enterobacter","Enterococcus","Escherichia-Shigella","Hafnia-Obesumbacterium","Klebsiella","Lactococcus","Ligilactobacillus","Romboutsia","Streptococcus","Terrisporobacter","Turicibacter","Weissella","unclassified-Enterobacteriaceae","unclassified-Pasteurellaceae"
"3",0.0024279269220562,0.000277589596396435,-0.00253463520630714,-0.000458317419912537,0.121469068017173,7.11297619480183e-05,-0.00377082599846497,0.241236415767006,-0.00905742427703957,-0.000988551839524748,-0.00153251302081288,-0.0229199557158013,-0.000663925557206447,0.56286793386208,0.00271425098352259,0.0598955768908029,0.0668544540118735,-0.018829279469099,0.00597572947134036
"8",-0.00485865625225231,0.000219611374658676,0.00374114950560619,0.0015445743021145,0.166000540819853,-0.00268286791821089,0.00488291774785219,0.287152935009241,-0.00432166410475238,-0.0219017781792237,-0.00540302509041225,-0.00354710148891362,0.00120698661087468,0.297078738362313,0.0079275923562813,0.00132664896730078,0.0779733246423301,-0.121666048794276,0.00750192771875416
"10",-8.04588579225315e-05,-0.000789767867695416,-0.00029558107816632,0.000642817562545818,0.116413424752342,0.00175134621347952,0.00336423883086529,0.349695361453986,-0.00959324958611092,-0.0221384494569954,-0.00468932147847773,-0.0185374913925401,0.000727021444695448,0.308032174909166,0.00949446775699697,-0.0226806996837731,-0.0247441082080496,-0.00188935330602889,0.0110494066459472
"12",0.00204860693577061,0.000798069551409059,0.00158712644204877,-6.71419027849937e-05,0.121005869999966,-0.000480981844919958,0.00102535424223335,0.36775103737671,-0.00201055481512187,-0.0132859738940374,-0.00173506083013117,0.00420401428699565,0.000567271801181131,0.395683525761224,0.00658222604837165,0.0111421753774648,0.01384459671795,-0.0501376079327418,0.00718795480063529
