"CycID","1","2","3","4","5","6","7","8","9","10","11","12"
"Acinetobacter__Total","0.000723669515968471","0.000256279837855412","-0.00206738138251454","0.000306975103491094","0.00650301484398461","0.011421599237299","0.0115439986765212","0.00790145961372655","0.00368823707504441","0.0008279259869421","-0.000428867071988791","0.000788834674203986"
"Actinobacillus__Total","0.000811243862517988","0.00201407992101524","0.00192169581035916","0.00134620205082246","0.000832770315104068","0.000613762209309923","0.000698805419960671","0.000993052033410096","0.00135143952727213","0.00159513246140323","0.00150347770464816","0.000792860251608938"
"Campylobacter__Total","0.00159005646406746","0.00368271172156861","0.00505368562044432","0.00544483811995037","0.0047241742018557","0.00322999822947397","0.00182454760720829","0.00141091109472514","0.00236955604881242","0.00419717365876507","0.00538048949164165","0.00341903440120626"
"Cellulosilyticum__Total","0.000120879951129322","-4.80964010949648e-06","3.0226208818128e-05","0.000363786479025412","0.000908429771099658","0.00135778233068419","0.00138487687816393","0.00100214936439652","0.000614823560524224","0.000606019407837425","0.000857769422812031","0.000469007803448747"
"Clostridium__Total","0.122470360382332","0.0689936879629875","0.0817808692780047","0.11220277981588","0.131149342382482","0.124274849773929","0.101725133856612","0.109849347058805","0.182981035491781","0.281060970652493","0.337160176338624","0.35120052659362"
"Enterobacter__Total","-0.000527303505512621","-0.000483475892254199","0.000899083054503504","-9.86965549877534e-05","-0.000863834167332678","0.00127446163446724","0.004831409619336","0.00578449196802279","0.00287960765793552","-0.00036423924699013","-0.00028752009028793","-0.000700798875011835"
"Enterococcus__Total","0.00121588954807301","-0.000883111027885598","0.000631712133239469","0.000793368729962187","-0.000426550210859862","-0.000556870476133356","0.00164774431092254","0.00466506294662434","0.00614875733924186","0.00534998381869508","0.0033097346528282","0.00118609327146336"
"Escherichia-Shigella__Total","0.378348034324573","0.32241880704307","0.265164269736482","0.235153744247798","0.257947990136961","0.335746948679983","0.438599799811936","0.513418508696697","0.514035195760524","0.436202180266023","0.329080080703932","0.272234862943637"
"Hafnia-Obesumbacterium__Total","-0.00260190683065324","0.00651393535562527","0.012836015265189","0.0156877571360987","0.0138027986589682","0.00791459636732867","0.00129422424893077","-0.00236142477288809","-0.00165793098385255","0.00127538492675395","0.00219959850229193","-0.00240314098477861"
"Klebsiella__Total","0.00291059009912654","0.00156864571829014","-0.000879391584533264","-0.00148522236282263","0.000624942166995764","0.00448780213741049","0.00804408532874284","0.00941833213031081","0.00818180061710139","0.00520821467669803","0.00147419562147743","-0.00247005616239"
