"","Acinetobacter","Actinobacillus","Campylobacter","Cellulosilyticum","Clostridium","Enterobacter","Enterococcus","Escherichia-Shigella","Hafnia-Obesumbacterium","Klebsiella","Lactococcus","Ligilactobacillus","Romboutsia","Streptococcus","Terrisporobacter","Turicibacter","Weissella","unclassified-Enterobacteriaceae","unclassified-Pasteurellaceae"
"Month_3",0.000171540852713984,0.000483433312193956,0.000998055870335908,1.0396415315999e-05,0.065253100730868,0.000909686340149916,0.000369072743717966,0.181750132554295,0.00021312651397798,8.31713225279923e-05,0.000379469159033965,0.000202730098661981,0.000467838689219957,0.654807822262884,0.000249513967583977,0.065762525081352,0.00129955191449988,0.00635220975807542,0.00270306798215975
"Month_8",0.00407539480387163,3.11892459479971e-05,0.00274465364342375,0.00358676328401967,0.0745578924386871,0.000660172372565939,0.000836911432937923,0.43675340742512,0.00123197521494589,0.00469398151517357,0.021260669321218,0.000254712175241977,0.000499027935167954,0.28502812230343,0.00115400210007589,0.0254556229012237,0.00132554295278988,0.107119465208396,0.000124756983791989
"Month_10",0.00232879703078379,0.000119558776133989,0.000259910382899976,0.00797924875502927,0.138693378523085,0.000909686340149916,0.00573882125443147,0.446993876511379,0.00102924511628391,0.000795325771673927,0.00349319554617568,0.00373751130610166,0.00309813176416772,0.274933203031595,0.00746982440454531,0.0150384147545926,0.0032956636551717,0.0205849023256781,0.000395063782007964
"Month_12",0.000145549814423987,0.00270826618981775,0.00086810067888592,0,0.173770883799266,0,0.00121638059197189,0.111470365018142,0,0,6.75766995539938e-05,0.000504226142825954,6.75766995539938e-05,0.647187249836256,0.00409618763450362,0.0203561811887261,0.000504226142825954,0.00116959672304989,0.00713713911443334
